,India Gate,Lotus Temple,Qutub Minar,Red Fort,Chandni Chowk,Hauz Khas Village,Akshardham Temple,Connaught Place,Humayun's Tomb,Lodhi Garden
India Gate,0,7.5,13.2,6.3,5.0,9.0,8.5,3.0,5.2,3.5
Lotus Temple,7.5,0,9.1,11.4,11.0,5.6,9.0,9.0,6.0,7.0
Qutub Minar,13.2,9.1,0,16.8,15.0,4.5,14.5,13.5,10.5,9.0
Red Fort,6.3,11.4,16.8,0,2.0,14.0,8.5,5.5,8.0,8.5
Chandni Chowk,5.0,11.0,15.0,2.0,0,13.0,7.5,4.5,7.0,7.5
Hauz Khas Village,9.0,5.6,4.5,14.0,13.0,0,13.0,9.5,8.0,6.0
Akshardham Temple,8.5,9.0,14.5,8.5,7.5,13.0,0,7.0,6.5,8.0
Connaught Place,3.0,9.0,13.5,5.5,4.5,9.5,7.0,0,4.0,3.5
Humayun's Tomb,5.2,6.0,10.5,8.0,7.0,8.0,6.5,4.0,0,3.5
Lodhi Garden,3.5,7.0,9.0,8.5,7.5,6.0,8.0,3.5,3.5,0
